progr2,progr_kr2,comp_math3,asm3,hard3,oop3,oop4,hard4,electr4,comp_math4
2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
4.0,4.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0
3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0
3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0
3.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0
3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0
3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0
3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0
3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0
3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0
2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0
0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0
4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0
3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0
5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0
4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
